,Method,RMSE_Score,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,,11.71720573940252,267.19568155196913,12.38912320812099,44.918508017070394,500.3153429939544
1,Random Forest,,2.8713846403724856,261.3303989996228,12.164834919342576,47.86746951869357,490.4878069677683
2,Random Forest,,26.693478061579526,264.46391197311084,13.753475761855105,51.502289040962644,491.79413227057995
3,XGBoost,,11.60643736984009,272.62455129009487,16.784415846105173,57.22430982911848,525.1857106213145
4,XGBoost,,2.9059037917542323,249.33298301825744,14.133145655482544,59.17009493837742,470.52336065809146
5,XGBoost,,26.37963868457086,247.31604460573013,17.4377365182709,61.18649726442745,443.1589470210981
6,LightGBM,,13.46729298660077,279.54566787395834,14.74260878808753,56.66296912563543,532.9509676751445
7,LightGBM,,2.8107008060087577,248.07977981621235,16.488837374830837,54.82450113556806,460.2892593085544
8,LightGBM,,28.83955827667352,249.46683725047907,14.096889668279953,56.109498679727466,456.5680921954915
9,ExtraTrees,,10.822045413717534,271.0435009096652,11.073847739154388,43.03040729148543,511.4761011565149
10,ExtraTrees,,4.229983237285478,265.4800132213876,9.747926271791144,43.04238617924065,516.5508844880379
11,ExtraTrees,,27.80142623787205,260.44427245468177,9.319702938971636,39.95951780043229,506.8138126222842
12,Linear Regression,,11.963042732232806,360.8120632400034,27.056992626834614,75.95073621355823,617.3554935649943
13,Linear Regression,,5.067336727111987,466.79153860883,37.5990827543406,99.00232367932487,743.2432030752319
14,Linear Regression,,28.17551193553911,426.1666088809211,34.29610090212757,91.52347761800712,694.8725060765098
